Nama Fail,Baris,Nama Produk,Item ID,Member ID Match,Status API,Mesej API,Status Akhir,Pautan Ditemui,Pautan Sebenar (Resolved)
data_promo_list.xlsx,71,[Ready Stock] PLAYMART 'Traditional Chinese Zhua Zhou Play Set' (3 yrs) Mainan Kayu Belajar Sambil Main Latih Tangan Mainan Budak,4798385192,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wzr?c=d&t=p-i5EjXBY-sTYIHOi,https://s.lazada.com.my/s.Zd0wzr?c=d&t=p-i5EjXBY-sTYIHOi
data_promo_list.xlsx,72,hot toys | 2026 New Toy Paris Love City Boys and Girls Set Valentine's Day Birthday Gift Home Decoration(Building Blocks Only),14929320669,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wzI?c=c&t=p-iGILuIf-s2G5GM1h,https://s.lazada.com.my/s.Zd0wzI?c=c&t=p-iGILuIf-s2G5GM1h
data_promo_list.xlsx,73,Trending Boys Birthday Gift Toys,14843150282,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wzH?c=d&t=p-iGCWLRi-s2FCXlSs,https://s.lazada.com.my/s.Zd0wzH?c=d&t=p-iGCWLRi-s2FCXlSs
data_promo_list.xlsx,74,LemonU Baby Magnetic Electric Track Car Anti Gravity Building Blocks Mainan Trek Magnet Elektrik,14946399486,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wzt?c=d&t=p-iGJVZHS-s2GB3McP,https://s.lazada.com.my/s.Zd0wzt?c=d&t=p-iGJVZHS-s2GB3McP
data_promo_list.xlsx,75,Rose Vibration g spot vibration woman 10 Species Tongue Licking 10 Species Vibration dildo toys for girl 按摩棒女用 vibrater sex women vibrator for girls,4675532103,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wzG?c=d&t=p-i56Q3U7-sSddRqR,https://s.lazada.com.my/s.Zd0wzG?c=d&t=p-i56Q3U7-sSddRqR
data_promo_list.xlsx,76,✈️Fast Shipping✈️ Kids Ride On Electric Motorcycle 6V Motor Polis Kanak Kanak A608MT Motor Mainan Elektrik Motor,3227750938,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wzu?c=d&t=p-i3WRJT0-sI8wp5K,https://s.lazada.com.my/s.Zd0wzu?c=d&t=p-i3WRJT0-sI8wp5K
data_promo_list.xlsx,77,52TOYS | Disguise Plush Hanging Ornament,14958087542,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAW?c=c&t=p-iGKIbsU-s2GDNFsf,https://s.lazada.com.my/s.Zd0wAW?c=c&t=p-iGKIbsU-s2GDNFsf
data_promo_list.xlsx,78,KAKABEIER | Role Playing Kitchen Set Toys,14938786072,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAe?c=c&t=p-iGIzcgS-s2G8NoVu,https://s.lazada.com.my/s.Zd0wAe?c=c&t=p-iGIzcgS-s2G8NoVu
data_promo_list.xlsx,79,PRETTY LOVE - Wild Rabbit Wireless Remote-Controlled Vibration Wearable (Chargeable - Purple) Adult Sex Toy Masturbation Vibrating Massager Toys For Couples,14911553077,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAV?c=c&t=p-iGH9M8b-s2G0fnWk,https://s.lazada.com.my/s.Zd0wAV?c=c&t=p-iGH9M8b-s2G0fnWk
data_promo_list.xlsx,80,Teeker Plush Dog Doll Pillow Soft Stuffed Long Pillow Cute Cartoon Dog Stuffed Animal Toy Body Pillow,2894987929,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAf?c=d&t=p-i39v4bh-sFHkQK8,https://s.lazada.com.my/s.Zd0wAf?c=d&t=p-i39v4bh-sFHkQK8
data_promo_list.xlsx,81,PRETTY LOVE - Dancing Butterfly Wireless Remote-Controlled Vibration Wearable (Chargeable - Purple) Adult Sex Toy Masturbation Vibrating Massager Toys For Couples,14911553084,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wA5?c=c&t=p-iGH9M8i-s2G0fo3m,https://s.lazada.com.my/s.Zd0wA5?c=c&t=p-iGH9M8i-s2G0fo3m
data_promo_list.xlsx,82,Bandai | Chucky Good Guys Figure He Wants You Be A Best Friend Chucky Figure Real Clothes Horror Toys Doll Christmas Gifts,14890232812,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAg?c=d&t=p-iGFhtlM-s2FtevBg,https://s.lazada.com.my/s.Zd0wAg?c=d&t=p-iGFhtlM-s2FtevBg
data_promo_list.xlsx,83,SW02 Transformation Toys Autobot Ironhide SS84 Ratchet Bumblebee SS82 Deformation Movable Toy Figurine Model,4304469022,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAK?c=c&t=p-i4hJ71i-sQUPrtl,https://s.lazada.com.my/s.Zd0wAK?c=c&t=p-i4hJ71i-sQUPrtl
data_promo_list.xlsx,84,Suction Vibrator/Remote VibratorAPP Control 6 Rotating Telescopic+Voice sex things man sex for lelaki Mastubrator for men 飞机杯真人倒膜toys for boy adult男用飞机杯toy for adult man飞机杯male sex toy cup vibrate massager adults toy men sex toy men viberate sex men toys,14937072674,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAq?c=c&t=p-iGIsQx0-s2G7s6Eq,https://s.lazada.com.my/s.Zd0wAq?c=c&t=p-iGIsQx0-s2G7s6Eq
data_promo_list.xlsx,85,HUI NA TOYS | 4WD Multi-Function Remote Control Construction Toy Car,14875630279,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAr?c=c&t=p-iGEicyd-s2FjBzXb,https://s.lazada.com.my/s.Zd0wAr?c=c&t=p-iGEicyd-s2FjBzXb
data_promo_list.xlsx,86,Hui Cheng Toys | Educational Train Set Toy,14865227554,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAI?c=c&t=p-iGE0ykk-s2FaH3bN,https://s.lazada.com.my/s.Zd0wAI?c=c&t=p-iGE0ykk-s2FaH3bN
data_promo_list.xlsx,87,LULU Cup - Three Kingdoms Dual Sucking Masturbator (Da Qiao Edition) Adult Sex Toy Masturbation Vibrating Massager Toys For Couples,14943879152,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0wAs?c=d&t=p-iGJKzcu-s2GALSyF,https://s.lazada.com.my/s.Zd0wAs?c=d&t=p-iGJKzcu-s2GALSyF
data_promo_list.xlsx,88,LEGO DUPLO Classic Brick Box 10913 Building Toy (65 Pieces),714506970,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.Zd0Dac?c=c&t=p-imLzty-s1hodJQ,https://s.lazada.com.my/s.Zd0Dac?c=c&t=p-imLzty-s1hodJQ
